Code,Class,Sub_Class,Ward_No,Rd_ID,Rd_Name,Locality,Colony,No_floors,Cons_type,Area,Descr,Bldg_Id,SHEET_ID,Shape_Leng,Shape_Le_1,Shape_Length,Shape_Area,height_m
A,6,House,66,RD_5217, ,THIRUTHIVAYAL, ,1,P,0.000000000000000, ,BL_134490A, ,35.652211706400003,35.652211706400003,35.652211706437058,70.912525281084910,3.5000000
A,6,House,66,RD_5139, ,CHENOTTU KANDI, ,2,P,0.000000000000000, ,BL_135811A, ,34.704495523699997,34.704495523699997,34.704495523690312,75.037117529325712,7.0000000
A,6,House,66,RD_5217, ,THIRUTHIVAYAL, ,2,P_K,0.000000000000000, ,BL_132095A, ,37.011655278600003,37.011655278600003,37.011655278604195,85.253920384162882,7.0000000
A,6,House,66,RD_926, ,KUTTIKAVU, ,1,P,0.000000000000000, ,BL_131998A, ,30.832106546500000,30.832106546500000,30.832106546515295,58.701667852116877,3.5000000
A,6,House,66,RD_2468A, ,THIRUTHIVAYAL, ,1,P_K,0.000000000000000, ,BL_131997A, ,46.978228613799999,46.978228613799999,46.978228613809804,97.804636001393476,3.5000000
A,6,House,66,RD_5386, ,CHEROTTU PARAMBA, ,1,P,0.000000000000000, ,BL_131121A, ,28.929606168799999,28.929606168799999,28.929606168825348,52.057668198089225,3.5000000
A,6,House,66,RD_2468C, , , ,2,P,0.000000000000000, ,BL_131116A, ,24.684295551700000,24.684295551700000,24.684295551721050,38.008757908675960,7.0000000
106,11,Nursing Home,65,RD_5675A, ,NADAKAVU VANDIPETA,SURAKSHA,3,P,0.000000000000000,REHABILITATION CENTRE,BL_131383, ,60.547820436599999,60.547820436599999,60.547820436616320,196.476745549988721,10.5000000
A,6,House,65,RD_2542B, ,NADAKAVU VANDIPETA, ,1,M,0.000000000000000, ,BL_131404, ,39.018200002599997,39.018200002599997,39.018200002610683,88.814194695763945,3.5000000
A,6,House,65,RD_5675A, ,NADAKAVU VANDIPETA, ,1,M,0.000000000000000, ,BL_131408, ,35.218733108000002,35.218733108000002,35.218733107961526,77.518738382902640,3.5000000
A,6,House,65,RD_5003A, ,NADAKAVU VANDIPETA, ,2,M,0.000000000000000, ,BL_131409, ,34.360802469299998,34.360802469299998,34.360802469327453,64.539565536495999,7.0000000
A,6,House,65,RD_5675A, ,NADAKAVU VANDIPETA, ,2,P_K,0.000000000000000, ,BL_131427, ,43.794476504000002,43.794476504000002,43.794476503971552,118.716005062883696,7.0000000
A,6,House,65,RD_5003A, ,NADAKAVU VANDIPETA, ,1,K,0.000000000000000, ,BL_131428, ,25.004794723800000,25.004794723800000,25.004794723797474,38.880345361182620,3.5000000
A,6,House,65,RD_5003A, ,NADAKAVU VANDIPETA, ,2,P,0.000000000000000, ,BL_131429, ,50.678796023200000,50.678796023200000,50.678796023212691,127.055278105821586,7.0000000
A,6,House,65,RD_5003A, ,NADAKAVU VANDIPETA, ,1,P_M,0.000000000000000, ,BL_131432, ,26.283734614499998,26.283734614499998,26.283734614537430,43.141996415761156,3.5000000
A,6,House,65,RD_2542B, ,NADAKAVU VANDIPETA, ,2,P,0.000000000000000, ,BL_131433, ,41.800400000099998,41.800400000099998,41.800400000065565,99.510085051539605,7.0000000
A,6,House,65,RD_5003A, ,NADAKAVU VANDIPETA, ,1,P_K,0.000000000000000, ,BL_131434, ,41.145186453400001,41.145186453400001,41.145186453393350,90.927126762596941,3.5000000
A,6,House,65,RD_5003A, ,NADAKAVU VANDIPETA, ,1,M,0.000000000000000, ,BL_131439, ,26.541799997900000,26.541799997900000,26.541799997910857,42.982769991850873,3.5000000
A,6,House,65,RD_5003A, ,NADAKAVU VANDIPETA, ,2,P,0.000000000000000, ,BL_131489, ,27.120719634600000,27.120719634600000,27.120719634641201,43.895805187339839,7.0000000
A,6,House,65,RD_5003A, ,NADAKAVU VANDIPETA, ,1,M,0.000000000000000, ,BL_131578, ,41.665056696000001,41.665056696000001,41.665056696020187,105.377519146914665,3.5000000
A,6,House,65,RD_5388, ,NADAKAVU VANDIPETA, ,1,M,0.000000000000000, ,BL_131809, ,21.804460360499998,21.804460360499998,21.804460360460126,29.507716078848460,3.5000000
A,6,House,66,RD_926, ,KUTTIKAVU, ,1,M,0.000000000000000, ,BL_131864, ,30.454421687400000,30.454421687400000,30.454421687363702,51.953593531978179,3.5000000
A,6,House,66,RD_926, ,KUZHIKANDI PARAMBA, ,1,P,0.000000000000000, ,BL_131865, ,33.543199997400002,33.543199997400002,33.543199997395277,67.943260789000519,3.5000000
A,6,House,65,RD_5675A, ,NADAKAVU VANDIPETA, ,2,P,0.000000000000000, ,BL_131891, ,34.262373316400001,34.262373316400001,34.262373316401295,73.341511617111436,7.0000000
A,6,House,65,RD_5338, ,NADAKAVU VANDIPETA, ,1,M,0.000000000000000, ,BL_131897, ,31.448849166700001,31.448849166700001,31.448849166654217,56.101465054136355,3.5000000
A,6,House,65,RD_2468, ,CHEROTTU PARAMBA, ,2,M,0.000000000000000, ,BL_131907, ,37.794864900900002,37.794864900900002,37.794864900852374,79.648173307795119,7.0000000
A,6,House,65,RD_5386, ,CHEROTTU PARAMBA, ,1,M,0.000000000000000, ,BL_131908, ,36.720206276699997,36.720206276699997,36.720206276689524,79.690997109817872,3.5000000
A,6,House,65,RD_2468, ,CHEROTTU PARAMBA, ,2,M,0.000000000000000, ,BL_131909, ,37.896346052600002,37.896346052600002,37.896346052641782,87.808312456158660,7.0000000
A,6,House,66,RD_5386, ,CHEROTTU PARAMBA, ,1,P,0.000000000000000, ,BL_131910, ,28.544445332100000,28.544445332100000,28.544445332119331,47.938681954070276,3.5000000
A,6,House,66,RD_5386, ,CHEROTTU PARAMBA, ,1,P_K,0.000000000000000, ,BL_131914, ,49.232795486900002,49.232795486900002,49.232795486923052,145.188594080209015,3.5000000
A,6,House,65,RD_2468, ,KUTTIKAVU, ,1,M,0.000000000000000, ,BL_131915, ,40.010261560499998,40.010261560499998,40.010261560524810,89.277859364906590,3.5000000
A,6,House,66,RD_2468A, ,THIRUTHIVAYAL, ,1,M,0.000000000000000, ,BL_131916, ,36.629133383499997,36.629133383499997,36.629133383480678,81.529461170592171,3.5000000
A,6,House,66,RD_926, ,KUTTIKAVU, ,1,P,0.000000000000000, ,BL_131917, ,34.129181443100002,34.129181443100002,34.129181443052481,72.035450099427180,3.5000000
A,6,House,66,RD_2468A, ,THIRUTHIVAYAL, ,1,M,0.000000000000000, ,BL_131919, ,39.070884511899997,39.070884511899997,39.070884511882383,91.224151022788803,3.5000000
A,6,House,65,RD_2468, ,KUTTIKAVU, ,1,P_M,0.000000000000000, ,BL_131920, ,29.906529330100000,29.906529330100000,29.906529330071653,55.523932432253758,3.5000000
A,6,House,65,RD_2468, ,KUTTIKAVU, ,2,P,0.000000000000000, ,BL_131921, ,35.810456561199999,35.810456561199999,35.810456561189710,68.634804633550658,7.0000000
A,6,House,66,RD_926, ,KUTTIKAVU, ,2,P,0.000000000000000, ,BL_131922, ,30.795349309700001,30.795349309700001,30.795349309721349,58.415980052891456,7.0000000
A,6,House,67,RD_2632, ,THOPAYIL, ,1,M,0.000000000000000, ,BL_131935, ,29.260184438900001,29.260184438900001,29.260184438923190,52.057705256952744,3.5000000
